h5_file,acquisition,moog_pan,pan_offset,moog_tilt,sun_alt,dtilt,u_x_expected,u_y_expected,detected,u_amp,az_offset_deg,roll_deg,roll_rms_pix,roll_n_bands
MeinelRoof_20260605_08_45_55.h5,Aquistion_0,-87.1,-5.45,41.5,41.559,-0.059,-0.0119,-0.0594,True,0.1411,0.7251,-6.791,58.25,8
MeinelRoof_20260605_08_56_19.h5,Aquistion_0,-85.7,-5.45,43.8,43.758,0.042,0.0689,0.0424,True,0.1558,0.5316,-21.3793,12.04,6
MeinelRoof_20260605_09_06_19.h5,Aquistion_0,-84.3,-5.45,45.8,45.872,-0.072,0.1572,-0.0723,True,0.1565,0.5168,-17.3655,31.85,6
MeinelRoof_20260605_09_15_55.h5,Aquistion_0,-83.1,-5.45,47.9,47.902,-0.002,0.05,-0.0023,True,0.1562,0.5227,-15.7417,24.2,8
MeinelRoof_20260605_09_27_58.h5,Aquistion_0,-80.8,-6.02,50.5,50.449,0.051,0.0582,0.0514,True,1.0726,0.6501,-18.5255,71.42,7
MeinelRoof_20260605_15_28_14.h5,Aquistion_0,92.7,-4.02,47.9,47.826,0.074,-0.0187,0.0739,True,0.1684,0.9511,3.1126,92.81,8
MeinelRoof_20260605_15_38_24.h5,Aquistion_0,93.9,-4.02,45.6,45.677,-0.077,-0.1997,-0.0768,True,0.1707,1.0914,-1.2886,88.52,7
MeinelRoof_20260605_15_47_52.h5,Aquistion_0,95.2,-4.02,43.5,43.676,-0.176,-0.1387,-0.1756,True,0.1612,0.8935,-9.682,37.0,7
MeinelRoof_20260605_15_57_52.h5,Aquistion_0,96.3,-4.02,41.5,41.563,-0.063,-0.3068,-0.0627,True,0.1554,0.8697,-13.0803,29.18,7
MeinelRoof_20260605_16_08_19.h5,Aquistion_0,97.8,-4.02,39.3,39.357,-0.057,-0.0949,-0.057,True,0.1592,1.0677,-4.8295,78.6,8
MeinelRoof_20260605_16_19_08.h5,Aquistion_0,99.2,-4.02,37.1,37.077,0.023,0.004,0.0227,True,0.1472,0.8026,-9.1409,23.06,6
MeinelRoof_20260605_16_30_23.h5,Aquistion_0,100.6,-4.02,34.7,34.711,-0.011,0.0781,-0.0113,True,0.1537,0.9505,-10.83,32.82,7
MeinelRoof_20260605_16_42_03.h5,Aquistion_0,101.8,-4.02,32.2,32.264,-0.064,-0.0746,-0.0641,True,0.1546,1.0845,5.2239,100.31,8
MeinelRoof_20260605_16_54_09.h5,Aquistion_0,103.1,-4.02,29.8,29.734,0.066,-0.1605,0.0655,True,0.1482,1.2207,27.7243,317.32,8
MeinelRoof_20260605_17_07_03.h5,Aquistion_0,104.7,-4.02,27.1,27.049,0.051,-0.0263,0.0515,True,0.141,1.1018,-14.3291,119.5,8
