file,pan,pan_off,dtilt,az_off,u_amp,detected
NormRoof__20250618_08_03_15.h5,-100.646,0.0,0.0,-0.1643,0.1634,True
NormRoof__20250618_08_07_19.h5,-99.973,0.0,0.0,-0.3319,0.1563,True
NormRoof__20250618_08_08_36.h5,-99.76,0.0,0.0,-0.006,0.458,True
NormRoof__20250618_08_10_00.h5,-99.529,4.5,0.0,-0.0198,0.4551,True
NormRoof__20250618_08_24_32.h5,-97.104,4.5,0.0,,0.184,False
NormRoof__20250618_08_37_38.h5,-94.887,4.5,0.0,,0.1945,False
NormRoof__20250618_08_51_15.h5,-92.543,4.5,0.0,,0.1799,False
NormRoof__20250618_09_02_25.h5,-90.58,4.5,0.0,0.4561,0.1777,True
NormRoof__20250618_09_12_42.h5,-88.734,4.5,0.0,0.3536,0.4415,True
NormRoof__20250618_09_26_25.h5,-86.204,4.5,0.0,0.476,0.1768,True
NormRoof__20250618_09_40_11.h5,-83.572,4.5,0.0,0.4474,0.18,True
NormRoof__20250618_09_57_22.h5,-80.123,4.5,0.0,0.5556,0.1698,True
NormRoof__20250618_10_13_05.h5,-76.781,4.5,0.0,0.5555,0.1818,True
NormRoof__20250618_10_29_11.h5,-73.127,4.5,0.0,0.701,0.1549,True
NormRoof__20250618_10_44_03.h5,-69.497,4.5,0.0,0.6848,0.1697,True
NormRoof__20250618_10_59_03.h5,-65.541,4.5,0.0,0.8043,0.1569,True
NormRoof__20250618_11_13_32.h5,-61.387,4.5,0.0,0.8345,0.171,True
NormRoof__20250618_11_20_54.h5,-59.129,0.0,0.0,1.254,0.2001,True
NormRoof__20250618_11_23_06.h5,-58.436,4.0,0.0,0.6059,0.194,True
NormRoof__20250618_11_36_40.h5,-53.92,4.0,0.0,0.4655,0.9323,True
NormRoof__20250618_11_51_08.h5,-48.631,4.0,0.0,0.7312,0.1597,True
NormRoof__20250618_12_05_05.h5,-42.999,4.0,0.0,0.7044,0.8099,True
NormRoof__20250618_12_10_25.h5,-40.7,0.0,0.0,0.4374,0.3536,True
NormRoof__20250618_12_11_33.h5,-40.203,0.0,0.0,0.6407,0.4241,True
NormRoof__20250618_12_17_40.h5,-37.441,4.0,0.0,0.5997,0.4354,True
NormRoof__20250618_12_31_02.h5,-31.002,4.0,0.0,0.6713,0.444,True
NormRoof__20250618_12_44_27.h5,-23.997,4.0,0.0,,0.4217,False
NormRoof__20250618_12_57_34.h5,-16.679,4.0,0.0,,0.4267,False
NormRoof__20250618_13_11_54.h5,-8.26,4.0,0.0,-0.0156,0.4418,True
NormRoof__20250618_13_26_18.h5,0.428,4.0,0.0,,0.4329,False
NormRoof__20250618_13_40_41.h5,9.092,4.0,0.0,0.0797,0.4247,True
NormRoof__20250618_13_55_05.h5,17.499,4.0,0.0,0.4969,0.4318,True
NormRoof__20250618_14_09_28.h5,25.454,4.0,0.0,-0.3645,0.4168,True
NormRoof__20250618_14_23_52.h5,32.834,4.0,0.0,,0.4223,False
NormRoof__20250618_14_38_45.h5,39.801,4.0,0.0,,0.4254,False
NormRoof__20250618_14_53_35.h5,46.082,4.0,0.0,0.6523,0.4394,True
NormRoof__20250618_15_09_31.h5,52.147,4.0,0.0,0.6997,0.4282,True
NormRoof__20250618_15_26_04.h5,57.789,4.0,0.0,-0.1695,0.4479,True
NormRoof__20250618_15_40_42.h5,62.288,0.0,0.0,-1.0691,0.4487,True
NormRoof__20250618_15_41_49.h5,62.618,0.0,0.0,-0.8737,0.3446,True
NormRoof__20250618_15_43_22.h5,63.068,3.0,0.0,0.5141,0.1929,True
NormRoof__20250618_16_00_59.h5,67.913,3.0,0.0,,0.2036,False
NormRoof__20250618_16_19_43.h5,72.587,3.0,0.0,,0.1893,False
NormRoof__20250618_16_39_06.h5,77.002,3.0,0.0,,0.1901,False
NormRoof__20250618_17_00_18.h5,81.451,3.0,0.0,0.4892,0.1944,True
NormRoof__20250618_17_21_58.h5,85.679,3.0,0.0,,0.1932,False
NormRoof__20250618_17_47_45.h5,90.4,3.0,0.0,0.6444,0.1687,True
